"Time","dt_sound_level_dB"
2022-08-01 00:33:00,51
2022-08-01 00:34:00,51
2022-08-01 00:35:00,49
2022-08-01 00:36:00,48
2022-08-01 00:37:00,50
2022-08-01 00:38:00,51
2022-08-01 00:39:00,49
2022-08-01 00:40:00,53
2022-08-01 00:41:00,51
2022-08-01 00:42:00,51
2022-08-01 00:43:00,54
2022-08-01 00:44:00,50
2022-08-01 00:45:00,51
2022-08-01 00:46:00,51
2022-08-01 00:47:00,51
2022-08-01 00:48:00,49
2022-08-01 00:49:00,50
2022-08-01 00:50:00,52
2022-08-01 00:51:00,51
2022-08-01 00:52:00,51
2022-08-01 01:03:00,50
2022-08-01 01:04:00,50
2022-08-01 01:05:00,49
2022-08-01 01:06:00,53
2022-08-01 01:07:00,48
2022-08-01 01:08:00,49
2022-08-01 01:09:00,50
2022-08-01 01:10:00,49
2022-08-01 01:11:00,52
2022-08-01 01:12:00,51
2022-08-01 01:33:00,52
2022-08-01 01:34:00,48
2022-08-01 01:35:00,49
2022-08-01 01:36:00,50
2022-08-01 01:37:00,48
2022-08-01 01:38:00,49
2022-08-01 01:39:00,50
2022-08-01 01:40:00,54
2022-08-01 01:41:00,48
2022-08-01 01:42:00,50
2022-08-01 01:43:00,48
2022-08-01 01:44:00,48
2022-08-01 01:45:00,51
2022-08-01 01:46:00,48
2022-08-01 01:47:00,52
2022-08-01 01:48:00,50
2022-08-01 01:49:00,48
2022-08-01 01:50:00,50
2022-08-01 01:51:00,50
2022-08-01 01:52:00,49
2022-08-01 01:53:00,51
2022-08-01 01:54:00,48
2022-08-01 01:55:00,49
2022-08-01 01:56:00,49
2022-08-01 01:57:00,51
2022-08-01 01:58:00,51
2022-08-01 01:59:00,50
2022-08-01 02:00:00,50
2022-08-01 02:01:00,49
2022-08-01 02:02:00,48
2022-08-01 04:43:00,48
2022-08-01 04:44:00,50
2022-08-01 04:45:00,48
2022-08-01 04:46:00,52
2022-08-01 04:47:00,48
2022-08-01 04:48:00,48
2022-08-01 04:49:00,50
2022-08-01 04:50:00,49
2022-08-01 04:51:00,51
2022-08-01 04:52:00,48
2022-08-01 05:03:00,48
2022-08-01 05:04:00,48
2022-08-01 05:05:00,49
2022-08-01 05:06:00,48
2022-08-01 05:07:00,48
2022-08-01 05:08:00,52
2022-08-01 05:09:00,48
2022-08-01 05:10:00,48
2022-08-01 05:11:00,54
2022-08-01 05:12:00,49
2022-08-01 05:24:00,51
2022-08-01 05:25:00,48
2022-08-01 05:26:00,49
2022-08-01 05:27:00,50
2022-08-01 05:28:00,51
2022-08-01 05:29:00,51
2022-08-01 05:30:00,52
2022-08-01 05:31:00,55
2022-08-01 05:32:00,51
2022-08-01 07:34:00,57
2022-08-01 07:35:00,60
2022-08-01 07:36:00,57
2022-08-01 07:37:00,59
2022-08-01 07:38:00,58
2022-08-01 07:39:00,56
2022-08-01 07:40:00,59
2022-08-01 07:41:00,57
2022-08-01 07:42:00,59
2022-08-01 07:53:00,59
2022-08-01 07:54:00,61
2022-08-01 07:55:00,57
2022-08-01 07:56:00,56
2022-08-01 07:57:00,60
2022-08-01 07:58:00,58
2022-08-01 07:59:00,59
2022-08-01 08:00:00,60
2022-08-01 08:01:00,61
2022-08-01 08:02:00,56
2022-08-01 08:03:00,60
2022-08-01 08:04:00,60
2022-08-01 08:05:00,56
2022-08-01 08:06:00,60
2022-08-01 08:07:00,57
2022-08-01 08:08:00,56
2022-08-01 08:09:00,57
2022-08-01 08:10:00,58
2022-08-01 08:11:00,60
2022-08-01 08:12:00,61
2022-08-01 08:23:00,60
2022-08-01 08:24:00,58
2022-08-01 08:25:00,60
2022-08-01 08:27:00,58
2022-08-01 08:28:00,59
2022-08-01 08:29:00,59
2022-08-01 08:30:00,60
2022-08-01 08:31:00,58
2022-08-01 08:32:00,60
2022-08-01 08:33:00,58
2022-08-01 09:43:00,60
2022-08-01 09:44:00,60
2022-08-01 09:45:00,58
2022-08-01 09:46:00,59
2022-08-01 09:47:00,61
2022-08-01 09:48:00,58
2022-08-01 09:49:00,59
2022-08-01 09:50:00,60
2022-08-01 09:51:00,58
2022-08-01 09:52:00,58
2022-08-01 09:53:00,64
2022-08-01 09:54:00,59
2022-08-01 09:55:00,60
2022-08-01 09:56:00,62
2022-08-01 09:57:00,59
2022-08-01 09:58:00,58
2022-08-01 09:59:00,61
2022-08-01 10:00:00,57
2022-08-01 10:01:00,59
2022-08-01 10:02:00,59
2022-08-01 10:03:00,61
2022-08-01 10:04:00,62
2022-08-01 10:05:00,60
2022-08-01 10:06:00,62
2022-08-01 10:07:00,59
2022-08-01 10:08:00,60
2022-08-01 10:09:00,62
2022-08-01 10:10:00,59
2022-08-01 10:11:00,59
2022-08-01 10:12:00,62
2022-08-01 10:23:00,64
2022-08-01 10:24:00,56
2022-08-01 10:25:00,58
2022-08-01 10:26:00,57
2022-08-01 10:27:00,60
2022-08-01 10:29:00,64
2022-08-01 10:30:00,62
2022-08-01 10:31:00,59
2022-08-01 10:32:00,63
2022-08-01 10:33:00,60
2022-08-01 11:34:00,60
2022-08-01 11:35:00,61
2022-08-01 11:36:00,61
2022-08-01 11:37:00,62
2022-08-01 11:38:00,61
2022-08-01 11:39:00,58
2022-08-01 11:40:00,63
2022-08-01 11:41:00,60
2022-08-01 11:42:00,58
2022-08-01 11:43:00,62
2022-08-01 11:44:00,59
2022-08-01 11:45:00,65
2022-08-01 11:46:00,62
2022-08-01 11:47:00,63
2022-08-01 11:48:00,61
2022-08-01 11:49:00,59
2022-08-01 11:50:00,62
2022-08-01 11:51:00,59
2022-08-01 11:52:00,58
2022-08-01 12:03:00,60
2022-08-01 12:04:00,61
2022-08-01 12:05:00,59
2022-08-01 12:06:00,59
2022-08-01 12:07:00,63
2022-08-01 12:08:00,59
2022-08-01 12:09:00,63
2022-08-01 12:10:00,62
2022-08-01 12:11:00,61
2022-08-01 12:12:00,63
2022-08-01 14:24:00,61
2022-08-01 14:25:00,62
2022-08-01 14:26:00,63
2022-08-01 14:27:00,57
2022-08-01 14:28:00,68
2022-08-01 14:29:00,61
2022-08-01 14:30:00,64
2022-08-01 14:31:00,63
2022-08-01 14:32:00,61
2022-08-01 14:33:00,59
2022-08-01 18:03:00,62
2022-08-01 18:04:00,61
2022-08-01 18:05:00,60
2022-08-01 18:06:00,60
2022-08-01 18:07:00,60
2022-08-01 18:08:00,63
2022-08-01 18:09:00,60
2022-08-01 18:11:00,62
2022-08-01 18:12:00,57
2022-08-01 18:13:00,62
2022-08-01 19:44:00,60
2022-08-01 19:45:00,62
2022-08-01 19:46:00,60
2022-08-01 19:47:00,58
2022-08-01 19:48:00,59
2022-08-01 19:49:00,63
2022-08-01 19:50:00,58
2022-08-01 19:51:00,61
2022-08-01 19:52:00,58
2022-08-01 20:18:00,58
2022-08-01 20:19:00,55
2022-08-01 20:20:00,58
2022-08-01 20:21:00,62
2022-08-01 20:22:00,56
2022-08-01 20:22:00,57
2022-08-01 20:23:00,55
2022-08-01 20:24:00,59
2022-08-01 20:25:00,59
2022-08-01 20:26:00,56
2022-08-01 20:27:00,56
2022-08-01 21:49:00,56
2022-08-01 21:50:00,57
2022-08-01 21:51:00,54
2022-08-01 21:52:00,59
2022-08-01 21:53:00,56
2022-08-01 21:54:00,60
2022-08-01 21:55:00,54
2022-08-01 21:56:00,51
2022-08-01 21:57:00,51
2022-08-01 21:58:00,55
2022-08-01 21:59:00,55
2022-08-01 22:00:00,56
2022-08-01 22:01:00,56
2022-08-01 22:02:00,55
2022-08-01 22:03:00,52
2022-08-01 22:04:00,52
2022-08-01 22:05:00,60
2022-08-01 22:06:00,55
2022-08-01 22:07:00,53
2022-08-01 22:08:00,56
2022-08-01 22:09:00,53
2022-08-01 22:10:00,52
2022-08-01 22:11:00,54
2022-08-01 22:12:00,53
2022-08-01 22:13:00,56
2022-08-01 22:14:00,54
