hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,47.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True
1,46.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
2,46.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
3,46.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False
4,46.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
5,46.0,False,False,False,True,True,True,True,True,True,True,True,True,True,True
6,47.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
7,47.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False
8,48.0,False,False,True,False,False,False,False,False,True,True,True,True,True,True
9,49.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10,49.0,True,True,True,False,True,False,False,True,True,True,True,True,True,True
11,50.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True
12,51.0,False,False,True,True,True,False,False,True,True,True,True,True,True,True
13,49.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,50.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
15,50.0,True,True,True,False,False,False,True,True,True,True,True,True,True,True
16,50.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False
17,52.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True
18,49.0,True,True,True,False,False,False,False,True,True,True,False,False,True,True
19,50.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False
20,48.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
21,48.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
22,46.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True
23,47.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
