hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,61.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,57.0,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2,56.0,False,False,False,False,False,True,True,True,True,True,True,True,True,True
3,57.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,57.0,False,False,False,False,False,False,False,False,False,False,False,False,True,True
5,58.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6,59.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,61.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,63.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,63.0,False,False,True,True,True,True,True,False,True,True,False,False,False,True
10,65.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
11,65.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
12,66.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
13,64.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
14,64.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
15,64.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,65.0,True,False,False,False,False,False,False,True,True,True,True,True,True,True
17,67.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
18,64.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
19,65.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20,64.0,True,True,True,False,False,False,False,False,True,True,True,True,True,True
21,64.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
22,63.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False
23,63.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
