hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,48.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,47.0,True,True,True,True,True,False,False,True,True,True,True,True,True,True
2,46.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,47.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,47.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5,47.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6,49.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,51.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8,51.0,True,True,True,True,True,True,True,True,True,True,True,True,True,False
9,53.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10,52.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,52.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
12,53.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
13,52.0,True,True,True,False,False,True,True,True,True,True,True,True,True,True
14,55.0,True,False,False,False,True,True,True,True,True,True,True,True,True,True
15,55.0,True,False,True,True,True,True,True,True,True,True,True,True,True,True
16,55.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
17,55.0,True,False,True,True,True,True,True,True,True,True,True,True,True,True
18,55.0,True,True,False,False,False,True,True,True,True,True,True,True,True,True
19,53.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20,51.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,51.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
22,50.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
23,48.0,True,True,True,False,False,False,False,False,False,False,False,False,True,True
