hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,52.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,50.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,50.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,49.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,49.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5,50.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True
6,54.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,58.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,60.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,60.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10,62.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
11,62.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
12,62.0,True,True,True,True,False,False,False,False,False,False,False,False,False,False
13,63.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
14,63.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
15,64.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
16,63.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
17,64.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
18,63.0,False,False,False,False,True,True,True,True,True,True,True,True,True,True
19,60.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20,59.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
21,58.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
22,56.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
23,54.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
