2004,2018,189.0
2013,2042,70.0
2015,203D,62.0
2018,2078,102.0
201A,2087,119.0
201B,2159,39.0
201C,203F,53.0
201D,20A6,248.0
201E,20D6,63.0
201F,2109,51.0
2021,2028,200.0
2024,20A6,87.0
2025,2051,95.0
2026,2056,65.0
2027,2226,93.0
2028,2021,200.0
2029,2045,105.0
202A,202D,83.0
202D,202A,83.0
202E,2032,77.0
202F,2092,48.0
2030,204C,67.0
2032,202E,77.0
2035,2331,103.0
2037,21B9,60.0
2039,235D,352.0
203B,202D,253.0
203C,202F,73.0
203D,2015,62.0
203F,20CF,51.0
2042,2360,67.0
2043,2093,64.0
2044,2137,66.0
2045,2029,105.0
204C,2030,67.0
204D,21B9,156.0
204E,21C1,78.0
2051,2025,95.0
2052,2013,107.0
2054,204C,86.0
2056,2026,65.0
2057,2058,99.0
2058,2057,99.0
205C,2133,51.0
205F,230D,59.0
2063,2352,81.0
2068,22D3,100.0
206B,20CF,57.0
2072,2091,62.0
2074,2068,105.0
2078,2018,102.0
207B,2130,64.0
207E,227A,70.0
2085,203C,80.0
2086,203D,67.0
2087,201A,119.0
2088,207E,90.0
208D,2085,81.0
2091,2072,62.0
2092,202F,48.0
2093,2043,64.0
209C,20A5,108.0
209D,204D,166.0
20A5,209C,108.0
20A6,2024,87.0
20A9,20D6,54.0
20C3,2265,117.0
20CF,203F,51.0
20D0,21AA,47.0
20D6,20A9,54.0
2109,201F,51.0
2130,207B,64.0
2133,205C,51.0
2135,2056,81.0
2137,2044,66.0
214E,20CF,101.0
2159,201B,39.0
21AA,20D0,47.0
21B9,2037,60.0
21BF,235D,540.0
21C1,204E,78.0
21C2,2396,67.0
21C3,2037,112.0
21DC,2394,83.0
2212,2233,74.0
2214,22E5,99.0
2215,226E,74.0
2216,238C,117.0
2217,223C,28.0
2218,227A,71.0
221E,2240,94.0
2225,22F7,83.0
2226,230D,90.0
2231,2212,93.0
2233,2212,74.0
2234,20A9,94.0
2236,22D3,90.0
2238,2279,146.0
223C,2217,28.0
223D,224B,86.0
2240,221E,94.0
2241,22B4,99.0
2242,22A7,83.0
224B,2395,79.0
225D,221E,122.0
2264,2267,47.0
2265,21DC,112.0
2266,2329,82.0
2267,2264,47.0
226E,229E,68.0
226F,2353,154.0
2279,22B9,53.0
2279,2364,89.0
227A,207E,70.0
227E,223C,69.0
2281,22F9,88.0
2284,2317,95.0
2288,2304,88.0
2289,2266,151.0
228E,22B2,155.0
2290,204C,77.0
2293,22D6,214.0
2297,2388,183.0
2298,2368,126.0
229A,234B,194.0
229B,2371,99.0
229D,2297,556.0
229E,226E,68.0
229F,237F,67.0
22A0,22D6,90.0
22A3,2320,80.0
22A7,2242,83.0
22A9,22B2,70.0
22AA,23A5,80.0
22B2,22A9,70.0
22B4,2241,99.0
22B9,2279,53.0
22BA,2364,94.0
22C1,22B9,171.0
22C3,2395,80.0
22CC,2368,298.0
22D3,2236,90.0
22D6,22A0,90.0
22D7,2226,227.0
22D8,232C,164.0
22E4,239F,69.0
22E5,2214,99.0
22E7,236B,145.0
22EB,231E,77.0
22F0,2337,80.0
22F1,2334,95.0
22F6,2063,93.0
22F7,2225,83.0
22F9,2281,88.0
22FC,2390,64.0
22FD,234E,89.0
22FE,2334,45.0
22FF,233B,100.0
2300,239E,54.0
2304,2288,88.0
2305,23A5,89.0
230D,205F,59.0
230E,2035,107.0
2311,2317,75.0
2315,2231,101.0
2316,2024,409.0
2317,2311,75.0
2319,2039,526.0
231E,22EB,77.0
231F,22F0,171.0
2320,22A3,80.0
2322,239D,93.0
2323,22FE,77.0
2324,22F1,96.0
2325,236F,289.0
2327,2332,58.0
2329,2266,82.0
232B,2374,159.0
232C,2373,73.0
2330,2133,54.0
2331,2332,95.0
2332,2327,58.0
2333,2390,77.0
2334,22FE,45.0
2335,2281,93.0
2337,22F0,80.0
2338,22BA,99.0
2339,22EB,143.0
233B,22FF,100.0
233D,233F,361.0
233F,2355,304.0
2344,2267,94.0
2346,234E,353.0
2348,2218,86.0
2349,2078,391.0
234A,2323,101.0
234B,229A,194.0
234E,22FD,89.0
2352,22C3,81.0
2353,2393,63.0
2355,2385,276.0
2358,2279,81.0
235D,2039,352.0
235E,2360,85.0
2360,2042,67.0
2364,2279,89.0
2368,2298,126.0
236B,22E7,145.0
236F,2325,289.0
2371,229B,99.0
2373,232C,73.0
2374,232B,159.0
2377,239A,156.0
2379,22CC,362.0
237B,2381,230.0
237E,2385,498.0
237F,229F,67.0
2381,2371,182.0
2383,237F,79.0
2384,23AE,176.0
2385,2355,276.0
2388,2297,183.0
238B,2397,88.0
238C,2216,117.0
2390,22FC,64.0
2391,239D,147.0
2393,2353,63.0
2394,21DC,83.0
2395,224B,79.0
2396,21C2,67.0
2397,238B,88.0
2398,2337,84.0
239A,2377,156.0
239D,2322,93.0
239E,2300,54.0
239F,22E4,69.0
23A3,2385,293.0
23A5,22AA,80.0
23A9,2214,161.0
23AE,2384,176.0
23B1,21DC,100.0
23B3,2332,68.0
